Fiyat,Ilce,M2,Banyo,Kat,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Takas,Eşya Durumu,Fiyat_numeric,oda_sayisi,salon_sayisi
6.500.000 TL,Turgutlu,141,1,-,30 Yaşında,Kat Kaloriferi,Var,Yok,Var,İkinci El,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil,6500000.0,3,1
4.600.000 TL,Salihli,85,1,-,24 Yaşında,Klima,Yok,Yok,Yok,İkinci El,Mülk Sahibi,Müstakil Tapulu,Hayır,Eşyalı Değil,4600000.0,2,1
2.849.000 TL,Yunusemre,70,1,4. Kat,6 Yaşında,Kombi,Var,Var,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,2849000.0,2,1
2.999.000 TL,Turgutlu,120,1,4. Kat,6 Yaşında,Kombi,Yok,Var,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,2999000.0,3,1
3.175.000 TL,Yunusemre,85,1,3. Kat,4 Yaşında,Kombi,Yok,Var,Var,Sıfır,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3175000.0,2,1
3.050.000 TL,Akhisar,90,3,2. Kat,Sıfır Bina,Kombi,Yok,Var,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3050000.0,2,1
2.950.000 TL,Akhisar,145,1,Yüksek Giriş,8 Yaşında,Kombi,Var,Var,Var,-,-,Müstakil Tapulu,Evet,-,2950000.0,3,1
2.590.000 TL,Akhisar,70,1,1. Kat,Sıfır Bina,Kombi,Var,Var,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2590000.0,2,0
1.700.000 TL,Yunusemre,75,1,Zemin,6 Yaşında,Kombi,Var,Yok,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,1700000.0,2,1
4.750.000 TL,Yunusemre,110,1,-,15 Yaşında,Kat Kaloriferi,Yok,Yok,Yok,Sıfır,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,4750000.0,2,1
2.750.000 TL,Soma,100,1,Yüksek Giriş,Sıfır Bina,Merkezi,Var,Var,Yok,Sıfır,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2750000.0,2,1
8.650.000 TL,Saruhanli,285,2,4. Kat,5 Yaşında,Kombi,Yok,Yok,Yok,-,Mülk Sahibi,Müstakil Tapulu,Evet,Eşyalı Değil,8650000.0,6,1
2.650.000 TL,Turgutlu,150,1,3. Kat,26 Yaşında,Kombi,Var,Yok,Yok,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,2650000.0,3,1
3.350.000 TL,Akhisar,100,1,Ara Kat,Sıfır Bina,Kombi,Yok,Var,Var,Sıfır,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3350000.0,2,1
4.200.000 TL,Yunusemre,240,2,5. Kat,20 Yaşında,Kombi,Var,Var,Var,İkinci El,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,4200000.0,4,1
4.900.000 TL,Salihli,125,1,5. Kat,6 Yaşında,Kombi,Var,Var,Var,İkinci El,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil,4900000.0,3,1
3.625.000 TL,Akhisar,135,1,2. Kat,Sıfır Bina,Kombi,Var,Var,Var,Sıfır,Boş,Kat İrtifakı,-,Eşyalı Değil,3625000.0,3,1
4.900.000 TL,Yunusemre,90,1,2. Kat,8 Yaşında,Kombi,Var,Var,Var,İkinci El,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,4900000.0,2,1
6.750.000 TL,Salihli,148,1,Bahçe Katı,15 Yaşında,Soba,Yok,Yok,Var,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,6750000.0,3,1
6.600.000 TL,Akhisar,150,2,En Üst Kat,Sıfır Bina,Kombi,Yok,Var,Yok,Sıfır,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,6600000.0,5,1
1.685.000 TL,Demirci,65,1,Giriş Katı,9 Yaşında,Kat Kaloriferi,Var,Yok,Yok,İkinci El,Kiracılı,Kat İrtifakı,Evet,-,1685000.0,2,1
3.300.000 TL,Yunusemre,110,1,En Üst Kat,12 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,Hayır,-,3300000.0,3,1
4.500.000 TL,Salihli,110,1,En Üst Kat,Sıfır Bina,Kombi,Yok,Yok,Var,Sıfır,Boş,Kat İrtifakı,-,-,4500000.0,2,1
5.200.000 TL,Sehzadeler,135,1,Ara Kat,16 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,5200000.0,3,1
4.850.000 TL,Yunusemre,48,1,12. Kat,1 Yaşında,Merkezi (Pay Öl...,Var,Yok,Var,Sıfır,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı,4850000.0,1,1
3.650.000 TL,Akhisar,105,1,3. Kat,Sıfır Bina,Kombi,Yok,Var,Var,Sıfır,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3650000.0,2,1
5.850.000 TL,Yunusemre,200,1,Çatı Katı,3 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,Evet,Eşyalı,5850000.0,3,1
11.750.000 TL,Yunusemre,174,2,Ara Kat,11 Yaşında,Kombi,Var,Var,Var,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,11750000.0,4,1
2.350.000 TL,Yunusemre,50,1,2. Kat,6 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,2350000.0,1,1
6.750.000 TL,Turgutlu,155,2,1. Kat,Sıfır Bina,Yerden Isıtma,Var,Var,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,6750000.0,3,1
2.800.000 TL,Salihli,85,1,1. Kat,Sıfır Bina,Kombi,Var,Var,Var,Yapım Aşamasınd...,Boş,Kat İrtifakı,Evet,-,2800000.0,2,1
4.100.000 TL,Salihli,145,1,4. Kat,20 Yaşında,Jeotermal Isıtm...,Var,Var,Var,İkinci El,Boş,Kat Mülkiyeti,-,Eşyalı Değil,4100000.0,3,1
3.600.000 TL,Akhisar,90,2,1. Kat,Sıfır Bina,Yerden Isıtma,Var,Var,Var,Sıfır,Boş,Kat İrtifakı,-,Eşyalı Değil,3600000.0,2,1
4.200.000 TL,Yunusemre,240,2,5. Kat,20 Yaşında,Kombi,Var,Var,Yok,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı Değil,4200000.0,4,1
16.500.000 TL,Yunusemre,257,3,Bahçe Katı,26 Yaşında,Kombi,Yok,Yok,Yok,-,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,16500000.0,4,1
3.250.000 TL,Salihli,165,1,-,20 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,3250000.0,3,1
2.600.000 TL,Turgutlu,110,1,4. Kat,21 Yaşında,Kombi,Yok,Yok,Yok,-,Kiracılı,Kat Mülkiyeti,Evet,Eşyalı Değil,2600000.0,2,1
12.000.000 TL,Salihli,200,1,-,12 Yaşında,Klima,Yok,Yok,Yok,İkinci El,Mülk Sahibi,Hisseli Tapu,Evet,Eşyalı Değil,12000000.0,3,1
3.970.000 TL,Yunusemre,83,-,3. Kat,12 Yaşında,Kombi,Yok,Yok,Yok,-,Belirtilmemiş,Kat Mülkiyeti,-,Eşyalı Değil,3970000.0,2,1
6.750.000 TL,Yunusemre,115,-,9. Kat,11 Yaşında,Kombi,Yok,Yok,Var,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,6750000.0,3,1
3.250.000 TL,Turgutlu,115,1,Yüksek Giriş,6 Yaşında,Kombi,Yok,Yok,Yok,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,3250000.0,2,1
3.700.000 TL,Sehzadeler,140,1,4. Kat,26 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3700000.0,3,1
9.900.000 TL,Turgutlu,160,2,Bahçe Katı,5 Yaşında,Kombi,Yok,Yok,Yok,-,-,Arsa,Hayır,-,9900000.0,1,0
3.300.000 TL,Turgutlu,135,1,3. Kat,20 Yaşında,Kombi,Var,Var,Var,-,Mülk Sahibi,Kat Mülkiyeti,Evet,-,3300000.0,4,1
2.575.000 TL,Yunusemre,50,1,Yüksek Giriş,Sıfır Bina,Kombi,Yok,Var,Var,Sıfır,Boş,Kat İrtifakı,-,Eşyalı Değil,2575000.0,1,1
35.000.000 TL,Salihli,300,3,-,1 Yaşında,Kat Kaloriferi,Var,Yok,Var,-,Boş,Müstakil Tapulu,Evet,Eşyalı Değil,35000000.0,7,1
2.990.000 TL,Yunusemre,75,1,Yüksek Giriş,Sıfır Bina,Yerden Isıtma,Yok,Yok,Yok,Sıfır,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2990000.0,2,1
2.950.000 TL,Yunusemre,75,1,2. Kat,4 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,2950000.0,2,1
2.300.000 TL,Turgutlu,85,1,3. Kat,Sıfır Bina,Kombi,Var,Var,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2300000.0,2,1
7.900.000 TL,Yunusemre,250,2,4. Kat,1 Yaşında,Kombi,Yok,Var,Yok,Sıfır,Boş,Müstakil Tapulu,-,Eşyalı Değil,7900000.0,5,1
4.100.000 TL,Sehzadeler,145,1,Yüksek Giriş,30 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,4100000.0,4,1
5.400.000 TL,Turgutlu,130,2,Ara Kat,2 Yaşında,Merkezi (Pay Öl...,Yok,Var,Var,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,5400000.0,3,1
8.980.000 TL,Yunusemre,275,2,Yüksek Giriş,14 Yaşında,Kombi,Var,Var,Yok,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,-,8980000.0,6,2
3.750.000 TL,Turgutlu,120,1,4. Kat,6 Yaşında,Kombi,Var,Var,Yok,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı Değil,3750000.0,2,1
3.400.000 TL,Sehzadeler,75,1,Ara Kat,23 Yaşında,Kombi,Var,Var,Var,İkinci El,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,3400000.0,2,1
3.475.000 TL,Yunusemre,120,1,Zemin,16 Yaşında,Kombi,Var,Var,Yok,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,3475000.0,3,1
2.100.000 TL,Turgutlu,159,1,Zemin,25 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı Değil,2100000.0,2,1
4.800.000 TL,Salihli,157,1,Bahçe Katı,10 Yaşında,Soba,Var,Var,Var,İkinci El,Mülk Sahibi,Müstakil Tapulu,Hayır,Eşyalı Değil,4800000.0,3,1
4.490.000 TL,Yunusemre,160,2,En Üst Kat,12 Yaşında,Kombi,Var,Var,Var,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı,4490000.0,4,1
2.350.000 TL,Turgutlu,105,1,Ara Kat,8 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,-,2350000.0,3,1
4.150.000 TL,Akhisar,125,1,2. Kat,Sıfır Bina,Yerden Isıtma,Var,Var,Yok,Sıfır,Boş,Kat İrtifakı,Evet,Eşyalı Değil,4150000.0,3,1
4.600.000 TL,Yunusemre,145,1,2. Kat,6 Yaşında,Kombi,Var,Yok,Yok,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,4600000.0,3,1
3.950.000 TL,Yunusemre,115,1,4. Kat,4 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3950000.0,3,1
4.650.000 TL,Yunusemre,100,1,3. Kat,11 Yaşında,Kombi,Var,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,4650000.0,2,1
4.650.000 TL,Salihli,145,1,Ara Kat,15 Yaşında,Kombi,Var,Var,Var,İkinci El,-,Kat İrtifakı,Hayır,-,4650000.0,3,1
4.550.000 TL,Yunusemre,125,1,1. Kat,6 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,4550000.0,3,1
8.500.000 TL,Turgutlu,280,3,5. Kat,Sıfır Bina,Yerden Isıtma,Var,Var,Yok,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,8500000.0,5,1
4.750.000 TL,Alasehir,155,2,8. Kat,6 Yaşında,Kombi,Var,Yok,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,4750000.0,3,1
3.650.000 TL,Salihli,125,1,3. Kat,Sıfır Bina,Kombi,Var,Var,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3650000.0,3,1
7.700.000 TL,Sehzadeler,145,2,5. Kat,6 Yaşında,Kombi,Var,Var,Yok,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,7700000.0,3,1
3.150.000 TL,Koprubasi,110,1,3. Kat,4 Yaşında,Kat Kaloriferi,Yok,Var,Yok,-,-,Kat Mülkiyeti,Evet,-,3150000.0,2,1
6.800.000 TL,Yunusemre,145,1,5. Kat,13 Yaşında,Kombi,Var,Var,Var,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,6800000.0,3,1
2.800.000 TL,Turgutlu,90,2,En Üst Kat,7 Yaşında,Merkezi (Pay Öl...,Yok,Yok,Yok,İkinci El,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,2800000.0,2,1
4.200.000 TL,Sehzadeler,120,1,Ara Kat,20 Yaşında,Kombi,Yok,Yok,Var,İkinci El,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,4200000.0,3,1
5.700.000 TL,Yunusemre,120,2,2. Kat,4 Yaşında,Kombi,Var,Var,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,5700000.0,3,1
2.450.000 TL,Salihli,85,1,Giriş Katı,4 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Kiracılı,Kat Mülkiyeti,Evet,Eşyalı Değil,2450000.0,2,1
4.200.000 TL,Yunusemre,140,1,4. Kat,6 Yaşında,Kombi,Yok,Var,Yok,-,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı Değil,4200000.0,3,1
1.550.000 TL,Sehzadeler,86,1,1. Kat,2 Yaşında,Merkezi,Yok,Yok,Var,-,Boş,Tapu Yok,Evet,Eşyalı Değil,1550000.0,2,1
3.250.000 TL,Turgutlu,145,1,Ara Kat,2 Yaşında,Kombi,Var,Var,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3250000.0,3,1
3.500.000 TL,Akhisar,103,2,2. Kat,Sıfır Bina,Kombi,Yok,Yok,Var,Sıfır,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3500000.0,2,1
1.800.000 TL,Ahmetli,45,1,Yüksek Giriş,6 Yaşında,Klima,Var,Yok,Yok,İkinci El,-,Kat İrtifakı,-,Eşyalı,1800000.0,1,1
3.150.000 TL,Yunusemre,80,1,2. Kat,8 Yaşında,Kombi,Yok,Var,Var,İkinci El,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil,3150000.0,2,1
3.550.000 TL,Yunusemre,90,1,Ara Kat,2 Yaşında,Kombi,Yok,Var,Var,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,3550000.0,2,1
6.100.000 TL,Salihli,135,1,3. Kat,3 Yaşında,Kombi,Yok,Var,Var,İkinci El,-,Kat İrtifakı,Hayır,Eşyalı Değil,6100000.0,3,1
3.425.000 TL,Sehzadeler,145,1,5. Kat,27 Yaşında,Kombi,Var,Var,Var,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,3425000.0,3,1
3.600.000 TL,Salihli,95,1,3. Kat,5 Yaşında,Kombi,Var,Var,Var,-,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,3600000.0,2,1
2.340.000 TL,Sehzadeler,90,1,En Üst Kat,34 Yaşında,Klima,Yok,Yok,Yok,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı,2340000.0,2,1
5.400.000 TL,Salihli,204,2,4. Kat,5 Yaşında,Kombi,Yok,Var,Var,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,5400000.0,4,1
5.250.000 TL,Akhisar,202,2,3. Kat,Sıfır Bina,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,5250000.0,4,1
5.250.000 TL,Alasehir,170,2,6. Kat,Sıfır Bina,Kombi,Yok,Var,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,5250000.0,3,1
1.705.000 TL,Akhisar,100,1,Zemin,31 Yaşında,Soba,Var,Yok,Yok,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,1705000.0,2,1
2.650.000 TL,Salihli,110,1,Kot 3,16 Yaşında,Isıtma Yok,Yok,Yok,Var,İkinci El,Kiracılı,Kat Mülkiyeti,Evet,Eşyalı,2650000.0,3,1
2.890.000 TL,Akhisar,130,1,Giriş Katı,1 Yaşında,Merkezi,Yok,Yok,Var,Sıfır,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,2890000.0,3,1
3.800.000 TL,Turgutlu,90,2,1. Kat,Sıfır Bina,Yerden Isıtma,Var,Var,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3800000.0,2,1
5.500.000 TL,Yunusemre,140,1,En Üst Kat,8 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,5500000.0,3,1
5.900.000 TL,Turgutlu,160,2,1. Kat,1 Yaşında,Yerden Isıtma,Var,Yok,Var,Sıfır,Boş,Kat İrtifakı,-,Eşyalı Değil,5900000.0,3,1
3.250.000 TL,Yunusemre,55,1,Zemin,10 Yaşında,Kat Kaloriferi,Yok,Yok,Yok,İkinci El,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil,3250000.0,1,1
4.750.000 TL,Salihli,130,1,2. Kat,25 Yaşında,Jeotermal Isıtm...,Yok,Var,Var,İkinci El,Boş,Kat İrtifakı,-,Eşyalı Değil,4750000.0,3,1
3.950.000 TL,Sehzadeler,130,1,1. Kat,26 Yaşında,Kombi,Var,Yok,Yok,İkinci El,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,3950000.0,3,1
6.300.000 TL,Turgutlu,110,2,En Üst Kat,2 Yaşında,Yerden Isıtma,Var,Var,Yok,İkinci El,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,6300000.0,2,1
10.250.000 TL,Akhisar,600,1,-,15 Yaşında,Soba,Yok,Var,Yok,İkinci El,Mülk Sahibi,Müstakil Tapulu,-,Eşyalı Değil,10250000.0,2,0
3.500.000 TL,Salihli,90,1,1. Kat,7 Yaşında,Kombi,Yok,Var,Var,-,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı Değil,3500000.0,2,1
3.380.000 TL,Sehzadeler,125,1,2. Kat,15 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3380000.0,3,1
6.500.000 TL,Turgutlu,170,2,4. Kat,Sıfır Bina,Kombi,Yok,Var,Var,Yapım Aşamasınd...,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,6500000.0,3,1
5.250.000 TL,Alasehir,170,2,6. Kat,Sıfır Bina,Kombi,Var,Var,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,5250000.0,3,1
4.050.000 TL,Yunusemre,135,1,2. Kat,15 Yaşında,Kombi,Yok,Yok,Var,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,4050000.0,3,1
3.000.000 TL,Akhisar,365,1,-,25 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Kiracılı,Arsa,Hayır,Eşyalı Değil,3000000.0,2,1
5.000.000 TL,Saruhanli,148,1,Ara Kat,7 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,5000000.0,3,1
4.250.000 TL,Akhisar,150,1,3. Kat,3 Yaşında,Kombi,Var,Yok,Yok,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,4250000.0,3,1
3.850.000 TL,Turgutlu,110,1,2. Kat,Sıfır Bina,Kombi,Yok,Var,Var,Sıfır,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3850000.0,2,1
7.000.000 TL,Turgutlu,165,2,1. Kat,1 Yaşında,Yerden Isıtma,Var,Var,Var,Sıfır,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,7000000.0,3,0
4.650.000 TL,Yunusemre,65,1,3. Kat,6 Yaşında,Kombi,Yok,Var,Var,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,4650000.0,2,0
4.450.000 TL,Yunusemre,130,1,3. Kat,6 Yaşında,Kombi,Yok,Yok,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,4450000.0,3,1
3.975.000 TL,Sehzadeler,100,1,1. Kat,30 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Müstakil Tapulu,Evet,Eşyalı Değil,3975000.0,2,1
4.000.000 TL,Turgutlu,110,1,2. Kat,Sıfır Bina,Yerden Isıtma,Var,Var,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,4000000.0,2,1
3.950.000 TL,Sehzadeler,100,1,6. Kat,6 Yaşında,Kombi,Var,Var,Yok,İkinci El,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,3950000.0,1,1
3.650.000 TL,Akhisar,130,1,2. Kat,6 Yaşında,Kombi,Var,Var,Var,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3650000.0,3,1
3.300.000 TL,Akhisar,85,1,3. Kat,Sıfır Bina,Kombi,Var,Var,Var,Sıfır,Boş,Kat İrtifakı,-,Eşyalı Değil,3300000.0,2,0
7.150.000 TL,Yunusemre,110,1,2. Kat,4 Yaşında,Kombi,Yok,Yok,Var,-,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil,7150000.0,2,1
5.670.000 TL,Salihli,135,1,3. Kat,6 Yaşında,Kombi,Var,Yok,Yok,-,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı Değil,5670000.0,3,1
4.300.000 TL,Sehzadeler,85,1,1. Kat,35 Yaşında,Kombi,Yok,Var,Var,İkinci El,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,4300000.0,2,1
3.800.000 TL,Salihli,160,-,4. Kat,10 Yaşında,Jeotermal Isıtm...,Var,Yok,Yok,İkinci El,-,Müstakil Tapulu,-,Eşyalı Değil,3800000.0,3,1
3.695.000 TL,Yunusemre,120,1,5. Kat,31 Yaşında,Kombi,Var,Yok,Yok,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3695000.0,2,1
600.000 TL,Demirci,90,1,-,40 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Boş,Arsa,Evet,Eşyalı Değil,600000.0,2,1
6.700.000 TL,Akhisar,300,3,4. Kat,Sıfır Bina,Kombi,Yok,Var,Yok,-,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil,6700000.0,5,1
5.250.000 TL,Turgutlu,172,2,4. Kat,5 Yaşında,Merkezi (Pay Öl...,Var,Var,Var,-,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,5250000.0,3,1
4.450.000 TL,Yunusemre,130,2,Ara Kat,6 Yaşında,Kombi,Var,Var,Yok,İkinci El,Kiracılı,Müstakil Tapulu,Evet,Eşyalı Değil,4450000.0,3,1
3.800.000 TL,Yunusemre,115,1,2. Kat,28 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3800000.0,3,1
4.299.000 TL,Sehzadeler,125,1,2. Kat,40 Yaşında,Merkezi,Yok,Var,Yok,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,4299000.0,3,1
3.650.000 TL,Turgutlu,125,1,En Üst Kat,7 Yaşında,Kombi,Var,Yok,Yok,İkinci El,-,Kat İrtifakı,Hayır,Eşyalı Değil,3650000.0,3,1
3.850.000 TL,Akhisar,125,1,4. Kat,5 Yaşında,Kombi,Var,Var,Var,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,3850000.0,3,1
8.250.000 TL,Akhisar,105,1,-,5 Yaşında,Klima,Yok,Yok,Yok,İkinci El,Boş,Müstakil Tapulu,Hayır,Eşyalı,8250000.0,2,0
3.600.000 TL,Akhisar,115,1,2. Kat,Sıfır Bina,Kombi,Var,Var,Var,Sıfır,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3600000.0,2,1
3.350.000 TL,Yunusemre,95,1,4. Kat,5 Yaşında,Kombi,Yok,Yok,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3350000.0,2,1
3.975.000 TL,Sehzadeler,125,1,2. Kat,21 Yaşında,Kombi,Var,Yok,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3975000.0,2,1
2.550.000 TL,Turgutlu,115,1,4. Kat,21 Yaşında,Klima,Var,Yok,Yok,-,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,2550000.0,2,1
6.500.000 TL,Akhisar,220,3,3. Kat,Sıfır Bina,Kombi,Yok,Yok,Var,Sıfır,Boş,Kat İrtifakı,-,Eşyalı Değil,6500000.0,4,1
3.075.000 TL,Sehzadeler,120,1,En Üst Kat,25 Yaşında,Kombi,Var,Yok,Yok,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,3075000.0,3,1
7.750.000 TL,Sehzadeler,90,1,1. Kat,31 Yaşında,Klima,Yok,Var,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,7750000.0,2,1
3.450.000 TL,Yunusemre,138,1,Yüksek Giriş,31 Yaşında,Kombi,Var,Yok,Yok,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3450000.0,3,1
8.500.000 TL,Yunusemre,135,31,Ara Kat,16 Yaşında,Kombi,Yok,Var,Var,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,8500000.0,3,1
17.949.000 TL,Yunusemre,220,4,-,Sıfır Bina,Yerden Isıtma,Yok,Yok,Var,Sıfır,Boş,Müstakil Tapulu,Evet,Eşyalı Değil,17949000.0,5,1
8.150.000 TL,Yunusemre,200,2,5. Kat,15 Yaşında,Yerden Isıtma,Yok,Var,Var,İkinci El,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,8150000.0,5,1
14.000 TL,Sehzadeler,120,1,En Üst Kat,25 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,14000.0,3,1
3.550.000 TL,Akhisar,260,2,Zemin,11 Yaşında,Kombi,Yok,Yok,Yok,-,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,3550000.0,5,1
